"permission.name.CanManageRepresentationGlobalPermissionPlugin","Darf Vertretungen und Abwensenheiten für Vertrieb planen"
"permission.name.CanManageRepresentationPermissionPlugin","Darf Abwenheit und Vertretung festlegen"
